date,strategy_return
2017-01-01,-0.02250850889421252
2017-02-01,-0.00796303358685646
2017-03-01,-0.008594631659174956
2017-04-01,-0.004920582655959849
2017-05-01,-0.0034794116916735396
2017-06-01,0.010555903889408746
2017-07-01,-0.013382857746931931
2017-08-01,-0.00045247534875791917
2017-09-01,0.018169507521404782
2017-10-01,0.004703595855853671
2017-11-01,-0.008796800564351948
2017-12-01,0.007794513555080318
2018-01-01,-0.036704298929782664
2018-02-01,-0.012011180965442736
2018-03-01,-0.008815428327647257
2018-04-01,0.024596431103546257
2018-05-01,-0.003538117916237815
2018-06-01,0.016318365112067745
2018-07-01,0.004597896879085628
2018-08-01,4.5022733387245495e-05
2018-09-01,0.02124344991680105
2018-10-01,-0.00269061724551245
2018-11-01,0.0031755400476394247
2018-12-01,-0.02716668750980067
2019-01-01,-0.012226946442937203
2019-02-01,0.01725985865098023
2019-03-01,-0.002029536496834683
2019-04-01,0.009400118457421947
2019-05-01,-0.02077419391861901
2019-06-01,-0.014722428167413981
2019-07-01,0.007563967438041663
2019-08-01,-0.019564792369171524
2019-09-01,-0.01414905065872496
2019-10-01,-0.007828144397020509
2019-11-01,-0.006645888490736329
2019-12-01,0.0058349763762007845
2020-01-01,-3.671987264119991e-05
2020-02-01,0.0071916453304476935
2020-03-01,0.014818529506957168
2020-04-01,0.013190197653111135
2020-05-01,-0.009689495595475606
2020-06-01,0.0004923813431485513
2020-07-01,0.027019219068792566
2020-08-01,-0.008138905226364512
2020-09-01,-0.0012223224357617024
2020-10-01,0.010505002602242741
2020-11-01,0.004514414735091843
2020-12-01,0.009233090528561472
2021-01-01,-0.011345876630515672
2021-02-01,-0.02002087839978106
2021-03-01,-0.03690580456230319
2021-04-01,-0.01270115563833385
2021-05-01,0.009209931299440033
2021-06-01,0.005713976313591829
2021-07-01,-0.010186882370042616
2021-08-01,0.004889942132942027
2021-09-01,0.018118285315372518
2021-10-01,0.01500857945667411
2021-11-01,0.0016547277186569342
2021-12-01,0.011062903554301284
2022-01-01,0.0017294655226807176
2022-02-01,0.00280229428577794
2022-03-01,0.055682006226156266
2022-04-01,0.07203678585918816
2022-05-01,-0.02314031655824289
2022-06-01,0.06890540419838831
2022-07-01,-0.0160481537333923
2022-08-01,0.03226999303575151
2022-09-01,0.04106424157928368
2022-10-01,0.023409079143789535
2022-11-01,-0.06134144426653143
2022-12-01,-0.04201228841482352
2023-01-01,-0.018334861515893586
2023-02-01,0.044742811193731136
2023-03-01,-0.02285846434237393
2023-04-01,0.004511962422422133
2023-05-01,0.04476768214023097
2023-06-01,0.03568152016791304
2023-07-01,-0.027780102277520258
2023-08-01,0.037944582792575954
2023-09-01,0.02216309908651337
2023-10-01,-0.0015134439227747487
2023-11-01,0.013895628571761853
2023-12-01,-0.03814640152057602
2024-01-01,0.04199258239185499
2024-02-01,0.02230457212821535
2024-03-01,0.005203885351660276
2024-04-01,0.03218431617371165
2024-05-01,0.004087974124660221
2024-06-01,0.02379051984080993
2024-07-01,-0.049892016576545184
2024-08-01,0.05095957865072809
2024-09-01,0.014542029386306887
2024-10-01,-0.07298480661404039
2024-11-01,0.013250299266651
2024-12-01,-0.038505293903842386
2025-01-01,-0.01845915529316078
2025-02-01,0.026509320172561357
2025-03-01,0.00263304956289101
2025-04-01,0.0489116090277707
2025-05-01,-0.010400712782419497
2025-06-01,-0.005132817012871271
2025-07-01,-0.03258439968637106
2025-08-01,0.01632426435438805
2025-09-01,-0.012296532578020214
2025-10-01,-0.035701017074604824
2025-11-01,-0.015490596361884101
2025-12-01,-0.0008254063471346829
2026-01-01,0.02078466583979488
2026-02-01,-0.017608747089077337
